Accuracy,Confidence,Bin_right_edge,Bin_Count
8.367952522255192593e-02,1.909539984373329752e-02,1.000000000000000056e-01,1.685000000000000000e+03
2.687074829931972997e-01,1.465344110942737310e-01,2.000000000000000111e-01,2.940000000000000000e+02
4.105263157894736836e-01,2.480205905951493039e-01,3.000000000000000444e-01,1.900000000000000000e+02
4.411764705882352811e-01,3.498969886427087950e-01,4.000000000000000222e-01,1.700000000000000000e+02
4.240506329113923889e-01,4.548407300020299027e-01,5.000000000000000000e-01,1.580000000000000000e+02
5.562130177514792440e-01,5.493580526433118338e-01,6.000000000000000888e-01,1.690000000000000000e+02
5.721925133689839127e-01,6.497825791157707531e-01,7.000000000000000666e-01,1.870000000000000000e+02
6.666666666666666297e-01,7.525539876331692746e-01,8.000000000000000444e-01,2.160000000000000000e+02
7.117437722419929225e-01,8.555735082381044077e-01,9.000000000000000222e-01,2.810000000000000000e+02
9.127272727272727204e-01,9.807934734063984417e-01,1.000000000000000000e+00,1.650000000000000000e+03
