proba_0,proba_1,label
9.961011497477241239e-01,3.898850252275974995e-03,0.000000000000000000e+00
2.345266526354951586e-01,7.654733473645048969e-01,0.000000000000000000e+00
1.799358670615208711e-02,9.820064132938479684e-01,1.000000000000000000e+00
9.996275948342195905e-01,3.724051657803913369e-04,0.000000000000000000e+00
9.412984492542803006e-01,5.870155074571962311e-02,0.000000000000000000e+00
9.999521364974697235e-01,4.786350253019767010e-05,0.000000000000000000e+00
9.992320362732625139e-01,7.679637267375390500e-04,0.000000000000000000e+00
9.033974821298198510e-01,9.660251787018010738e-02,0.000000000000000000e+00
9.866105550352034792e-03,9.901338944496479444e-01,1.000000000000000000e+00
2.980541100421345898e-03,9.970194588995787699e-01,1.000000000000000000e+00
3.850807857656231015e-01,6.149192142343767875e-01,1.000000000000000000e+00
9.364081915270477952e-02,9.063591808472951650e-01,1.000000000000000000e+00
1.279991485238731776e-02,9.872000851476125938e-01,1.000000000000000000e+00
8.302685377486027640e-01,1.697314622513972637e-01,1.000000000000000000e+00
7.024771432334910859e-01,2.975228567665089696e-01,1.000000000000000000e+00
9.522508277695874712e-01,4.774917223041244552e-02,0.000000000000000000e+00
7.511712763993365627e-01,2.488287236006635761e-01,0.000000000000000000e+00
9.868404071691688761e-01,1.315959283083116549e-02,0.000000000000000000e+00
3.269954565678798771e-03,9.967300454343211991e-01,1.000000000000000000e+00
9.989083167679853048e-01,1.091683232014799059e-03,0.000000000000000000e+00
2.422444580147214283e-02,9.757755541985277947e-01,1.000000000000000000e+00
4.170615016768056682e-01,5.829384983231942208e-01,1.000000000000000000e+00
9.999999578604017447e-01,4.213959835751861417e-08,0.000000000000000000e+00
7.924025676676846874e-01,2.075974323323152293e-01,0.000000000000000000e+00
9.143239586357047172e-03,9.908567604136429008e-01,1.000000000000000000e+00
7.625955181433959895e-01,2.374044818566039550e-01,1.000000000000000000e+00
3.162391916526070378e-08,9.999999683760808500e-01,1.000000000000000000e+00
5.153040031537372764e-03,9.948469599684626186e-01,1.000000000000000000e+00
3.057206182344209267e-01,6.942793817655790178e-01,0.000000000000000000e+00
9.983453849529403401e-01,1.654615047059570555e-03,0.000000000000000000e+00
